text,sentiment
"Semua anak/warga negara indonesi.mari kita dukung program pak Prabowo memberantas korupsi di RI   ini.dan marikit senantiasa mendoakan pak peresiden Prabowo kita berdoa agar dilancar kan oleh Allah yg mahakuasa segala urusan beliau yg sifat nya menguntung kan masyarakat RI ini,,",positive
"Coba dari dulu pak wowo jadi presiden nih pasti masyarakat indonesia sejahtera dan damai gak susah kayak sekarang, mungkin saya salah satunya yang pilih prabowo melawan orng tua walaupun beda pendapat saya tetap prabowo trus berjuang untuk rakyat pk presiden prabowo semangat semoga panjang umur pk prabowo",positive
Keren abis... Speechless  negeri nya orang-orang bersih... Sehat dan berkah selalu bapak Indonesia,positive
saya bangga punya presiden p prabowo bravo p hajar para koruptor jangan kaya jokowi lemah karna banyak kemasukannya,positive
"Semoga pemberantasan ini sampai k tingkat desa2...bersihkan nkri dari para koruptor  sehat2 pak bowo agar negeri ini aman nyaman di dalam kepemipinan mu,",positive
Hebat   bpk  PrabowoMulyono  dlu  kok gx bisa  ya ( ),positive
"Inilah presiden yg di tunggu2 oleh rakyatnya, hidup prabowo",positive
"Lanjutkan,,,,bersih bersih adalah ke inginan Rakyat yg sebenarnya,,,,Bpk Prabowo presiden yg sangat sangat tegas,,,dan santun,,,,",positive
"Walaupun kemarin gw gak ikut nyoblos tapi Alhamdulillah pak Prabowo yang jadi presiden , Semangat pak Prabowo, semoga bisa membawa perdamaian untuk saudara kita di Palestina",positive
"Si joko bobrok banget ngurus negri ajrr ,rugi rugi rugi nyoblos 2 periode,prabowo baru bbrp hari menjabat langsung ketar ketir rontokk tuh oknum2 kaparat.HIDUPPPP PRABOWOO JOSS ini baru namanya presiden",positive
Alhamdulilah kita dapat presiden yg berani membongkar kasus korupsi. Semoga Pak Prabowo sehat terus dan tetap dalam perlindungan Tuhan yang maha Esa.,positive
Masyarakat puas dg  memilih Bapak . PRABOWO  Oke gaass,positive
Mantap sikat terus para koruptor yg bikin miskin rakyat kecil,positive
jika para koriptor bersih dan habis.. kedepan nya siap dukung lgi. prabowo..,positive
Hebat pak Prabowo,positive
"Hebat Pak Presiden Prabowo membongkar pelaku korupsi di NKRI, semoga semua koruptor bisa masuk penjara.Amiin Allahuma Aamiin.",positive
Prabowon is the best.....!! Semoga sehat dan panjang umurnya !!,positive
Pk Prabowo memang  mantap gk salah coblos,positive
Ok Pak prabowo keren banget,positive
"Memberantas korupsi  para koruptor ini besar tantangannya, bukan kaleng presiden yang sanggup dan butuh kinerja maksimal sekalian masyarakat..Seluruh warga nkri harus siap mendukung pak presiden prabowo, walau apapun yang terjadi ke depannya..Salam hormat dari msia",positive
Mantap. Lanjutkan pembersihan dari korupsi di lembaga yg lainnya...lihat kemiskinan di negri ini.,positive
"Presiden ku,udah gk butuh duit presiden Abah wowo cuman butuh jabatan buat ngancurin para koruptor",positive
"Mantap..lanjutkan,babat habis koruptor2 negara..",positive
"Ini mah udh jelas sebenernya udah dikantongi pak jokowi dan hanya pak prabowo yg berani dan paling mampu menangkap mereka satu2 krna selain presiden dan power pak prabowo sebagai ketua umum ,pak prabowo juga orang kaya raya yg ga akan punya utang budi secara materi dari koruptor2 inimantap pak semoga sehat terus sampe 5th dan seterusnya",positive
Mantap tangkap semua koruptor yg ada di Indonesia jangan di biarkan lolos,positive
Sikat trus pak presidenku....smg Indonesia lbh maju bersih dr koruptor...smg pak presiden sehat slalu ma mas Gibran..Amin,positive
Alhamdulillah ..gk sia sia saya coblos 02 dulu..... Joossss lanjutkan pak prabowo...rakyat mendukung bpk...,positive
Ini baru pemimpin yg tegas..,positive
"Pak Presiden ku,,, I love you so mulj.... Bersyukur kpda Allah SWT.",positive
Mantap ga salah pilih gw dari dulu sampai sekarang... Bravo,positive
Iti baru manta pak prabowo sikat habis korupsi uang negara,positive
Tidak salah lagi pak Prabowo memang mantap,positive
Ini baru pemimpin,positive
Mantap.....lanjukat Prabowo Brantas terus,positive
"Alhamdulillah... Presiden kita semua, selalu sehat ya pak ,hormat kami pak prabowo",positive
Pak Prabowo Subianto hrs lebih tegas siappun yg coba kropsi hrs d miskinkan biar kapok,positive
Subhanallah.. gua emg gak pernah salah pilih ..kenapa gak dari dulu aja sih pak Prabowo jadi presiden,positive
Sehat selalu pak Prabowo . Bebaskan indonesia dari Korupsi .,positive
Mantap pak Prabowo gth lh hrs tegas,positive
Hancurkan judi onlen hidup pak prabowo,positive
Edan pantesan rakyat sengsara. Uang nya dikorupsi terus.mantap bapa Prabowo sehat selalu presidenku.,positive
Sehat selalu pak presidenku,positive
Mantap pak Prabowo babat terus korupsi ....ambil hartanya  untuk bayar utang negara,positive
Mantap pak prabowo anda luar biasa semoga pak presidenku sehat selalu. Pak kami butuh negara yg tanpa korup,positive
Mantap pak prabowo,positive
Luar biasa lanjutkan pak bavo,positive
SIKAT ABISSSSSSS...PRABOWO THE BEST,positive
Mantap presiden Prabowo Subianto luar biasa pert nya,positive
Subhanallah mudahan Alloh melindungi PK presiden,positive
"Bapak  Prabowo Subianto  bekerja keras baru satu  bulan dak banyak para koruptor yg ter ungkap  hebat Bapak Prabowo, jadi Presiden bukan cari duit tapi benar2 demi kemakmuran NKRI, Rakyat Indonesia  semata  karena dia bukan tukang kayu  bikin kursi, tetapi pak Prabowo memang konglomerat yg kaya Raya.",positive
"Mantul bravo pak Prabowo Subianto, sapu sampai bersih jangan yang ada main2 dengan keuangan  ini baru jooss.....!!!!!",positive
Hormat kami pa jendral presiden Prabowo mantap pa sikat habis korupsi pa biar,positive
Baru kali Terharu dengar berita tentang presiden  Terima kasih Tuhan sdh menjawab doa2 kami untuk Indonesia spy bersih dari koruptor2  Terima kasih Tuhan sdh kirimkan Pak PrabowoGibran sebagai wakil Tuhan atas bangsa ini,positive
Ini yg rakyat mau ..mantap peresiden prabowo,positive
Alhmdllh pilihanku trnyata tepat... Maju terus pak demi menylamatkan negri ini dari korupsi..,positive
"Ngga salah aku pilih bp ,  sikat terus  para koruptor",positive
"Pak prabowo dan pak gibran mantap lah pokok nya,, menuju indonesia maju rakyat sejahtera",positive
"Gasssss bpk presiden ku,...mantapppppp.",positive
"Mantap  bpk  presiden  ku,  mmg  hebat  paK prabowo",positive
Itu yg kelihatan belom seberapa  mantap pak prabowo lanjut kan tugas mu babat semua para korupsi,positive
Saya dari dulu pilih pak Prabowo tidak yang lain sekarang terwujud .habisin yg korupsi itu yang jajaran apa aja,positive
Sudah bertahun tahun ini sahatnya presidenku  yg hebat  cerdas berani dan menjaga negara untk masah depan Rahat  maedeka  negara ku  ku kenang presidenku Prabowo untuk selamanya,positive
Mantap bapaku  presidenku  sikat sampai akar demi rayat mu  bahagia,positive
"Gk salah pilih waktu pertamakali pak prabowo mencalonkan diri jadi presiden 10 thn lalu,dan baru jadi di 2024 semoga jauh lebih baik dr presiden2 sebelum x dan buka banyak lapangan pekerjaan di negri sendiri aamiin.klo gt Indonesia jadi majuprabowo jadi presiden Indonesia selamax",positive
Sehat selalu pak presiden.. stabilkan keadaan Indonesia dari pengkhianat pengkhianat bangsa,positive
"Mantap pak prabowo , masyarakat mendukung Bapak  ,",positive
Papak Prabowo Subianto sehat slalu panjang umur,positive
Ini baru tegas  sehat sllu bpk presiden Prabowo dan wapres Mas Gibran Gusti mberkahi Amin,positive
sudah benar pak prabowo sebelum mnsejahterakn rakyat..korupsi dulu di bereskn.mantapp.,positive
"Klo mmg pak Prabowo ingin bersih bersih dana desa adalah lahan hijau koruptor, tolong di usut semua pak yakin 85% perangkat desa akan terciduk",positive
Mantap...bravo pak prabowo,positive
"Ya Allah ya Tuhan kami,Semoga Bpk. Prabowo Subianto diberikan kesahatan dan barokah umur.",positive
lanjutkan pak prabowo.. habis kan tikus2 bangsa. yg mengrogoti negara kita...  hajar...!!!,positive
Muda2 ALLAHswt melindungi pemimpin yang adil dan jujur,positive
Kt doakn sj smg bliau ttp sll dlm lndgn Allah swt. Ku smpe brtgkr ma tmnku krn mmlh bliau .alhmdulillah gk slh plh ku,positive
Kakin optimis dg pemimpin sekarang!,positive
"Semangat pak presiden brantas terus para koruptor doa rakyat selalu menyertai mu,,,sehat2 pak presiden",positive
Setuju banget pk trima kasih presidenku,positive
Mantap Pak presiden Prabowo.,positive
Ini baru presiden bukan hnya omdo tetapi kerja nyata gak takut uang,positive
Ya Allah panjangkan lah umur presiden Prabowo ya Allah agar bisa membenahi negara ini,positive
Pak prabowo   jangan tebang pilih.  Dalam menangani korupsi.  Siapapun  yg  ter indikasi  korupsi.   Harus di selidiki  walaupun itu masih kerabat pak prabowo,positive
"Tu gmna ,smga yg kroptor bersih semua,miskinkan lasung,biar tau jadi orng miskin,mantap pak presiden pk prabowo",positive
Bersihkan koruptor pak .mumpung ada kesempatan jihad dijln yg benar.insyaAlloh surga tempat BPK prabowo,positive
Kelaz memang pak Prabowo ini,positive
20 thun kami mnunggu pemimpin bangsa ini..alhamdulillah 2024 terkabul,positive
Mantap pak presiden  ayo terus gempur orang orang ngerusak peraturan negara,positive
Paspampress . Tolong lebih ketat penjagaan presiden . Pasti musuh beliau banyak dalam memajukan indonesia . Semoga sehat selalu bpk prabowo,positive
Prabowo dan jajarannya T.O.P..,positive
Ini jadi alasan kenapa banyak yg gak suka bapak Prabowo jadi presiden...sehat terus bapak Prabowo,positive
"Melawan para koruptor itu memang tidaklah mudah, makanya pak Prabowo yg punya niat kuat untuk memberantas para koruptor selalu di jegal sana sini untuk jadi presiden dari dulu, semangat terus pak Prabowo ini sudah masanya engkau berbuat apa yg menjadi cita-citanya, semoga pek Prabowo sehat selalu dan di lindungi oleh Allah SWT agar bisa mebawa Indonesia yg makmur dan sejahtera bagi seluruh rakyat Indonesia, amiin",positive
"babat habis para koruptor pak,biar rakyat indonesia makmur,selagi pak Prabowo jadi presiden.pantas banyak orang ambisi jadi pejabat,karena niatnya ingin memperkaya diri.hidup pak Prabowo,menyala presidenkuh,gasken jangan kasih kendorrrrrrr",positive
"Keren bgt,prabowo",positive
Ni baru yg nama presiden. Ayo pak prabowo hajar korusi,positive
mantap presidenku. semoga Indonesia lebih baik di pimpin pak Prabowo,positive
Makanya pada takut ketika Prabowo Subianto menjadi presiden ya ini  Beliau tegas dan disiplin.,positive
Semoga pak Prabowo sehat selalu panjang umur. N lanjut periode berikutnya. Biar sejahtera masyarakat bawah dan Indonesia makin kuat.,positive
Sikat bersih tanpa tebang pilih. Rakyat yang waras pasti mendukung pak.,positive
Ini baru presidenq trbaik,positive
Mantap brani tegas bersi bersi korupsi dan pelangaran hukum lain nya salut dan hormat pd pbk presiden tetap semangat tegakan ke adilan rakyat selalu mendukung dan mengharap semua kemutuhan pokok murah dan perbanyak lapangan kerja itu harapan rakyat baru yg di sebut Indonesia merdeka,positive
"Ga akan soalnya Prabowo masih baik hati , kemanusiannya besar",positive
"BELUM SEBERAPA YG TERUNGKAP, KARNA YG NAMANYA KORUPSI DI PEMERINTAHAN = FENOMENA GUNUNG ES,  TAPI KITA TETAP APRESIASI PRESTASI PAK PRABOWO INI",positive
"Hidup presiden prabowo,,,maju terus pantang mundur,",positive
"Mantap pak presiden, kikis habis korupsi di Bumi NKRI",positive
Sikat abis korupsi.... Di desa  di usut juga.....,positive
Babat habis sgala bentuk  korupsi,positive
"Dulu banyak yg menjegal pak prabowa jadi presiden Karna pada takut , nangkep koruptor besar Best pak probowo pilihan ku",positive
Masya Allah Prabowo Presiden ku Sehat selalu,positive
Brantas trus para koruptor pk prabowo.,positive
Mantap.keren.ini baru presiden yg tegas..tidak pandang bulu..,positive
Mantap presidenku pak prabowo. Poko ny harus periode 2 nih,positive
Pantesan pak prabowo susah jadi presiden ternyata banyak yg memberatkan para koruptor.Maju terusss kabinet merah putih,positive
Puas nih gw sma kinerja pak prabowo .Berantas terus pak para pejabat yg memperkaya diri..Smoga presiden kita sllu sehat.,positive
Hayo pak prabowo  hajar teros  para koropsi kami dukong,positive
Babat habis para penjilat Dan para koruptor di negara Indonesia ini. Bersih kan semua yg akan membikin rusak Bangsa Indonesia dan negara kita pak. Bapak adalah pemimpin yg tak takut mati.demi negara Indonesia ini. Merdekaaaa.,positive
Mantap maju terus.pak Prabowo,positive
Mantap sikat abis korupsi,positive
"Alhamdulillah,,rakyat bersamamu pak,semangat terus",positive
Andai 2014 yg lalu. Tapi semua sudah kehendak Allah. Bismillah Indonesia lebih baik lagi.,positive
Pk prabowo pasti  bikan omon omon saja..rakyat menunggu tindakan nyata berantas koruptor ala pk prabowo,positive
Mantap presiden ku,positive
Semangat terus Bpak Presiden Prabowo Subianto kami Rakyat Bersama Kamu Pak..sehat slalu panjang Umur.,positive
Bpk semoga sehat slalu....agar negara tercinta benar2 bisa ada perubahan kedepannya,positive
"KEPADA PAK PRABOWO SERTA JAJARANYA,,DIMOHON JANGAN CUMAN DITANGKAP DIRINGKUS,,BUAT MEREKA JERA,PENJARA SEUMUR HIDUP,JANGAN PENJARA MEWAH,MISKINKAN!!",positive
"Ini lah yang ditakutkan orang orang pintar maling itu Prabowo presiden, sehat selalu pak maju Indonesia",positive
Mantep prabowo,positive
Rakyat bersama Mu BAPAK Prabowo... kami sangat berterima kasih semoga Indonesia bersih korupsi yakin Insha alloh Rakyat sejahtera.. Indonesia maju Indonesiaku emas bagi Rakyatnya.. benar2 merdeka.,positive
Ngga salah pilih presiden guasehat selalu pak Prabowo... panjang umur...harus 2 periode ini pak presiden ku,positive
Klu negri ini BBS dari korup sy yakin nawacita Prabowo yg ngk ingin lihat rakyatnya miskin akan terwujud,positive
Keren pemimpin kami sekarang pak presiden Prabowo Subianto.terus babat habis koruptor korupsi di Indonesia Indonesia majuuuuuuuuuuu,positive
"Mantap ,, disikat semua koruptor",positive
mantap lanjutkan berantas terus korupsi,positive
Yeeeeeesss bpa presiden kita skrg ...dari militer .tegas,positive
Ini baru presiden Indonesia tegas lugas amanah,positive
Ini baru presiden bagus,positive
Mantap BPK presiden ku..jgn biarkan pencuri uang negara,positive
Semoga Bpk Prabowo beserta aparat dlm menegekkan kebenaran selalu dalam lindungan Allah SWT.,positive
mantap ni Bru  nma ny Prabowo sikat habis  pejabat yg   pnjilat,positive
"Mantap ini presiden kita, Merdeka",positive
Lanjutkan p.prabowo Habiskan  para korupsi kl bs Hukum Mati.,positive
"BRAVO Bpk Presiden Prabowo Subianto , semoga babat habis paraa koruptor  ga pandang bulu, dan ketum ketum parpol yang slalu menjegal hak hak suara rakyat sampai sampai bantuan hak rakyat PKH,BPNT,dll di jegal oleh oknum KETUM pusat dan daerah beserta anteknya",positive
oalah ini alasan mereka yg anti prabowo pada ga mau prabowo jadi presiden...... keren .....,positive
Semangat pa prabowo,positive
Berantas terus pak.. Sampai tuntas..,positive
"GAS PAK PRABOWO,, KITA INDONESIA SEMUA MENDUKUNG PEMBERANTASAN KORUPSI,,,HANCURKAN KORUPSI",positive
Mantappp presiddnku pak prabowo,positive
mamtap prabowo,positive
"Ngeriiii pk prabowo,, mnteppp coyy",positive
Prsiden kelas dunia bukan kaleng kaleng,positive
Alhamdulillah tidak salah pilih,positive
"Indonesia emang harus punya pemimpin yg punya jiwa psikopat gak kenal takut, gak pandang bulu.Indonesia itu punya potensi jadi negara super power, tapi selama bertahun2 cuma jalan ditempat gaada perkembangan.Inilah pentingnya punya pemimpin yg tegas !!",positive
"Saya kemarin nggak milih,tp aq bangga kl adil dlm hukum,seperti p prabowo,tdk melindungi para kucing garong uang rakyat,good jood p prabowo",positive
Probowo dan jokowi..akan sapu bersih para koruptor dan judi dan narkoba,positive
Mudah-mudahan pemerintah selalu dalam lindungan Alloh SWT,positive
Aslkm...mudah mudahan slama Bp jadi presiden sehat trus Pa .dan babad trus yang coba  coba kropsi.dari mulai atas sampai bawah.,positive
Mantap persiden ku pk prabowo subianto ini baru terbukti semoga sehat slalu pk persiden ku,positive
"Pak Jokowi santai aja ya kan… “capek ngurus mereka2 yang ga bisa dikasih tau. Kalo ga fokus ngurusin dan benahin ini semua infrastruktur dll Indonesia, makin numpuk nanti PR Indonesia.” Sekarang rasakan itu sehabis pak Jokowi terpilihlah Pak Prabowo!!! Inshallah Bismillah",positive
Klo 100% berubah ya tidak bisa...paling tidak ada perubahan sedikit tp berdampak positif bagi bangsa ini..bayangkan uang uang korupsi yg triliunan rupiah bisa di sita dan diambil alih negara untuk pembangunan bangsa ini..semua masyarakat akan merasakan dampak positif nya..syukur syukur yg korupsi timah 270 triliun bisa terungkap semua dan uang ya diambil alih negara untuk pembangunan..wow..perubahan besar untuk negri ini..,positive
Mantep pak Prabowo,positive
Alhamdulillah..akhirnya indonesia punya presiden yg ikhlas pd bangsa ini. Semoga Allah SWT senantiasa melindungi bpk. Prabowo. Aamiin YRA,positive
Sungguh.HEBAT.Semua.Sekenario.CITA².Bp.PRABOWO...Lanjut. Mudah²an.Bp.PRABOWO.Be Pegang Teguh .Semua.Cita²nya Demi.Untuk.Rakyatnya .Semoga .Bp.PRABOWO.Beserta.Kinerja²nya..di.Beri.Kemudahan.LANCAR.dn.SUKSES.dlm.Menjalankan.Tugas²nya.dlm.Mengabdikan.Tugas.dn.Semangat.Juangnya.Untuk.Bangsa.dn.Negara.....Wong.Cilik.Lebih.Percaya.dengan.PEMERINTAH.dn.NEGARA..yg.Sudah.Lebih.Pengalaman.dlm..Menyaring.Sebagai.Seorang..Tim.².Ke Negaraan Sebagai Ahli²nya dlm.TOTO.NEGORO..Salam.Bersatu..untuk.NKRI.JOYO JOYO.WIJAYANTI..untuk.NKRI.,positive
Suatu.NEGARA..SUDAH.LEBIH.Teliti.dn.KONTROL.LEBIH.HEBAT..Sudah.Banyak.Pejabat²elit.yg.Lebih.Cerdas.dn.Bijak.yg Sesuai dengan Waktu² Tahap demi.Tahap..Sesuai.dg.Masa.Berlaku...Mudah²an Semua.Cita²Bp.PRABOWO.Terwujut .Untuk Memper Juangkan dlm MELURUSKAN Kejujuran ..dari.Amanah².RAKYAT.....Cita² dengan Janji lain ..Mudah²an.aja.Berjalan.Lancar.dn.Sukses...Setapak.demi.Setapak.Mudah²an.Akan.Terwujud..Semua.Cita²..BANGSA...dlm.Kesejahteraan.RAKYAT . Tidak Cukup.Hanya.dg.Omon.Omon..Sudahlah..Percayakan.Kepada.Ahli²nya..Sebagai.Petugas²/Pejabat² Negara..Deso Mowo.Coro..NEGORO.Mowo.TOTO....Indonesia.Negara.Besar..Apapun.Bertahap...yg Gak Bisa Kerja.Gak Konsisten ..Mending .Benar Tepat Kata Bp.PRABOWO..Mingir.Minggir.Minggir.gitu.aja..  itulah.yg.Benar² Punya Rasa Tanggunggung Jawab.Disiplin.Atas.Semua.Jiwa².PENGADIAN.Kepada.BANGSA.dn.NEGARA.Demi.RAKYAT.nya.. Sungguh Betul.HEBAT.Kata.Bp.PRABOWO..tidak.Hanya Cukup di.Omon.Omon....LANJUT.dnmPegang.Teguh.Cita² Bp.PRABOWO.HEBATRakyat Cerdas./Wong Cilik .Okeee Gaasss Poollll,positive
"Presidenku hebat,tidak salah aku pilih bpk 3 kali",positive
Pak presiden kejar terus para koriptor di hkm se umur hidup serta miskin kan para koruptor dan jln kan program selama 5 thn dan awasi serta kawal terus program ini,positive
Pecat aja pak presiden apabila pejabat tdk menjalan kan program   visi dan misi selama 5 thn ke depan dan jgn di kasi ampun psk presiden wijudkan a spirasi rakyat dan masyarakat indonesia,positive
"Sehat sehat ya pak,, pastinya sesudah ini bapk banyak musuh nyA yng berusaha untuk menikam bapak dari belakang,, krna bnyk yang tidak sepaham dengan ketegasan bapak,,krna Ketegasan ini sangat mengganggu Kenyamanan   para oknum,  Krn Ketulusan ada di prabowo..",positive
Gas terus pak Prabowo jangan dengerin nyinyiran orang,positive
Udahlah. Lanjut.HEBAT.Bp PRABOWO .Bersih²....Sudah Tidak Cukup di.OMON.OMON.Doang...Minggir Minggir Minggir.Minggir......!!!!HEBAT Bp.PRABOWO.Tegaskan.Gak Usah Banyak.OMON.OMON...Kakehan.Gunem Tanpo Guno...Sudah BANYAK RAKYAT CERDAS....,positive
Mudah2an  presiden kita menepati janji.bersih2 walaupun satu kolam.jangan yg di bersihkan se belah saja..,positive
Pak prabowo presidenku Indonesia,positive
Itu bukan janji tapi itu uda tekat pak prabowo mau memBrantas,positive
"Semoga pak Prabowo sehat selalu, panjang umur dan menjadi pemimpin yg amanah dan barrokah,",positive
Mantap presiden yg baru,positive
Inilah yg presiden Prabowo ingin kan kalau dia menjadi presiden dia akan berantas semua para penghianat negara!!!!!,positive
trimakasih bpk presiden..trs berjuang,positive
semoga bermanfaat untuk kita dan NKRI. Presiden RI prabowo subianto. Sehat selalu dalam menjalankan tugasnya.,positive
"Lanjudkeen segera ,Good job Pak Prabowo Subianto Presiden RI ke-08 Ngasto Amanah Rakyat Indonesia MERDEKA NKRI  Fixed Price  Data para Koruptor sudah jelas,, tinggal Bagaimana Kabinet Merah-Putih  mampu berantasnya,,agar tidak terlalu lama,,demi Keutuhan NKRI",positive
Pokoknya hrs bongkar semua yg korupsi dan hukum seberat-beratnya,positive
"Dengan peringatan keras ,  para koruptor sebaiknya berterima kasih dan harus sadar diri , untung masih hidup didunia ini , masih ada kesempatan bertaubat dan beralih ke hal hal yg positif utk bekal diakherat nanti ...",positive
Mentri titipan dan mentri yg serakah pilihan partai yg sebenar nya tak sesuai dg keinginan Presiden prabowo .tapi disinilah pintar nya beliau. Beliau tak bisa menolak.. Namun  hukum lah yg    bisa menyelesaikan...ya kan.mantap,positive
Kamu pasti bisa merampas aset koruptor pak,positive
Tak ada prabowo itu  tersandra broo . Peresidenku seorang pemberani,positive
Pk prabowo adalah orang berkomitmen tinggi...mudah2an lebih baik kedepan dimulai dr pk prabowo,positive
Bapaknya beberapa puluh tahun lalu pernah bilang..... korupsi di NKRi 70% dari anggaran. Jadi tidak aneh kalau presiden PS paham betul bagaimana korupsi sudah merajalela sampai ke tulung sumsum,positive
"Selama inikorop di negeri kita sudah seperti ayaman satu putus putus semua sehinga ,korop terus mencekap  mudahan bpk Presiden kita bisa melawan korop ini Aamin",positive
Saya sangat apresiasi tuk bp.presiden Prabowo Subianto  sikat abis koruptor 2 tanpa pandang bulu.amiin.,positive
Bismillah Alhamdulillah Pak Prabowo dkk Berjuang Brantas Korupsi ... !!!Proklamasi Jilid 2 ... MERDEKA,positive
Makanya sewaktu dipanggil calon mentri itu hrs ditanya disetiap kementrian atau departemen kesediaan untuk jujur dan pemberani demi indonesia.buat perjanjian pakta integritas untuk bangsa dan negara.,positive
"MUDAH2 AN DG KUATNYA GREGET PRESIDEN PRABOWO UTK MEMBERANTAS KORUPSI DAN SERINGNYA KUNJUNGAN PRESIDEN PRABOWO KE CHINA, BELIAU BISA TERINSPIRASI OLEH PRESIDEN CHINA XI JIN PING YG PUNYA KOMITMEN AMAT2 KUAT UTK MEMBERANTAS KORUPSI. BAHKAN,DI AWAL2 MASA JABATAN SEBAGAI PRESIDEN CHINA DIA PERNAH BERNARASI BERIKAN SAYA 100 PELURU DAN 100 PETI MATI UTK PERSIAPAN MEMBUNUH PARA KORUPTOR,99 AKAN SAYA GUNAKAN UTK MEREKA,DAN SISAKAN SATU BUTIR PELURU UTK SAYA,SEANDAINYA SAYA MELAKUKAN HAL YG SAMA. SIAPKAH PRESIDEN PROBOWO MENCONTOH KESERIUSAN PRESIDEN CHINA XI JIN PING UTK MEMBERANTAS KORUPSI DI NKRI  ATAU MENCONTOH PRESIDEN KOREA UTARA KIM JONG UN DIMANA PARA KORUPTOR LANGSUNG DIJATUHKAN KETEMPAT PENANGKARAN BUAYA YG SEDANG LAPAR ! MESTINYA, MELIHAT SEMAKIN MASSIPNYA TINDAK PIDANA KORUPSI YG SEMAKIN GILA,DAN SEMAKIN BESARNYA NILAI NOMINAL KERUGIAN NEGARA AKIBAT KORUPSI, TIDAK ADA SALAHNYA KALAU PRESIDEN PRABOWO MENERAPKAN PEMBERANTASAN KORUPSI ALA PRESIDEN CHINA DAN PRESIDEN KOREA UTARA ITU.",positive
BRANTAS KORUPSI PENCUCIAN UANG TANPA KENDALA BEKINGAN,positive
Kami sangat mendukung dan bangga dngan gebrakan pak Presiden Prabowo memberantas korupsi.Yg paling utama adalah UU PERAMPASAN ASET PARA KORUPTOR HARUS SEGERA DISAHKAN OLEH DPR.Dan HUKUMAN SEBERAT BERATNYA/HUKUMAN MATI BAGI PARA KORUPTOR.Kalau ini dilakukan niscaya Indonesia akan aman dri korupsi.,positive
Habiskan koruptor jangan disisain maling2 itu,positive
"Amiiiin ya Allah,semoga koruptor diindonesia akan hilang diera pak prabowo",positive
Setuju pak porobowo setuju habisi pinjol habisi judi segala judi tun jukan jiwa kesat riamu mer deka,positive
